GeoID,Borough,Neighborhood Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,home_broadband_pct,Mobile Broadband Adoption %,mobile_dep_pct,isp_count,Blocks with ISP Reported Speed Availability of >=900 Mbps in %,Public Wi-Fi in NYC Count,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,English only language %,Language other than English %,Native born in US %,foreign_born_pct,Completed Bachelors degree or higher %,under_18_pct,Population over 64 years %,plurality_racial_group,Median House gross rent (in $),Median House value (in $),Owner occupied Housing unit %,renter_occ_pct,Total occupied Housing unit %,per_cap_inc,Families below poverty level %,Population employed in labor force %,Work from Home - Capable,Work from Home - Incapable
BK09,Brooklyn,Brooklyn Heights-Cobble Hill,23758,65994.44,11150,86.4,0.882,5.0,2.41,1.0,27,1.22,79.5,20.5,82.0,18.0,78.1,13.6,13.3,White,2084.0,768459.0,43.2,56.8,88.2,82940.0,2.0,68.3,91.39999999999999,8.600000000000009
BK17,Brooklyn,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,65167,28707.93,25483,77.29,0.7604,7.000000000000001,1.82,0.76,18,2.45,41.4,58.6,50.8,49.2,40.5,18.9,19.1,White,1149.0,467326.0,53.4,46.6,92.7,29668.0,13.2,59.7,64.4,35.599999999999994
BK19,Brooklyn,Brighton Beach,34814,56151.61,14441,66.53,0.688,8.0,1.86,0.79,1,1.43,16.8,83.2,30.6,69.4,41.0,18.5,22.8,White,1122.0,566383.0,31.1,68.9,89.9,25916.0,20.1,53.9,54.0,46.0
BK21,Brooklyn,Seagate-Coney Island,31120,22388.49,11553,55.47,0.6092,10.0,1.83,0.76,32,1.0,46.6,53.4,66.2,33.8,23.2,23.5,19.3,White,620.0,433588.0,15.4,84.6,88.8,20054.0,26.3,49.6,48.5,51.5
BK23,Brooklyn,West Brighton,17252,55651.61,8547,66.82000000000001,0.6754,9.0,1.56,0.42,0,0.76,25.0,75.0,36.0,64.0,50.9,9.1,35.3,White,987.0,282390.0,41.9,58.1,93.4,30666.0,10.4,54.0,68.2,31.799999999999997
BK25,Brooklyn,Homecrest,44817,41497.22,15744,74.8,0.7656,9.0,1.95,0.97,1,1.52,42.3,57.7,55.3,44.7,37.8,28.1,14.2,White,1333.0,641274.0,37.0,63.0,91.7,26889.0,15.8,60.0,67.3,32.7
BK26,Brooklyn,Gravesend,30294,27048.21,11421,71.93,0.7631,9.0,1.92,0.89,1,1.14,37.5,62.5,52.4,47.6,30.9,21.4,18.2,White,1024.0,515440.0,33.5,66.5,93.5,23401.0,17.8,56.2,56.0,44.0
BK27,Brooklyn,Bath Beach,33580,45378.38,11312,75.1,0.8225,9.0,1.86,0.77,8,1.12,31.0,69.0,50.7,49.3,33.6,21.4,14.7,White,1299.0,685011.0,39.1,60.9,94.5,26894.0,10.9,59.6,60.2,39.8
BK28,Brooklyn,Bensonhurst West,89889,53825.75,29960,71.77,0.805,10.0,1.83,0.98,0,2.73,26.1,73.9,43.9,56.1,26.2,21.0,14.3,White,1259.0,708946.0,34.5,65.5,94.3,23694.0,15.3,61.6,52.099999999999994,47.900000000000006
BK29,Brooklyn,Bensonhurst East,65589,51241.41,22406,72.82,0.7977,9.0,1.88,0.95,2,2.07,24.3,75.7,42.0,58.0,30.2,19.9,15.7,White,1209.0,657026.0,34.5,65.5,93.0,23274.0,17.4,60.5,53.5,46.5
BK30,Brooklyn,Dyker Heights,43840,40971.96,14543,75.19,0.8019,7.000000000000001,2.65,1.0,7,1.39,34.4,65.6,53.4,46.6,26.8,22.0,14.8,White,1299.0,767503.0,46.5,53.5,92.8,25712.0,15.2,60.9,55.099999999999994,44.900000000000006
BK31,Brooklyn,Bay Ridge,78892,32735.27,33164,74.24,0.8079,11.0,1.97,0.95,8,3.04,49.0,51.0,64.9,35.1,46.4,19.1,15.6,White,1385.0,687001.0,36.0,64.0,89.9,37096.0,12.9,64.4,70.9,29.099999999999994
BK32,Brooklyn,Sunset Park West,53266,29757.54,16357,65.4,0.7778,7.000000000000001,2.17,1.0,18,1.59,24.9,75.1,55.2,44.8,23.7,22.5,8.9,Hispanic or Latino,1349.0,700654.0,22.6,77.4,93.5,21122.0,25.5,64.7,46.3,53.7
BK33,Brooklyn,Carroll Gardens-Columbia Street-Red Hook,43647,27279.38,18153,80.67999999999999,0.8481,6.0,1.86,1.0,26,1.67,71.5,28.5,81.8,18.2,62.5,20.3,10.7,White,1753.0,1099629.0,28.8,71.2,93.4,59746.0,11.2,72.3,84.5,15.5
BK34,Brooklyn,Sunset Park East,64170,66154.64,18783,64.4,0.7724,8.0,2.58,1.0,0,1.9,13.4,86.6,42.0,58.0,15.0,26.2,8.1,Asian,1231.0,668624.0,21.5,78.5,93.5,14937.0,33.0,64.5,38.099999999999994,61.900000000000006
BK35,Brooklyn,Stuyvesant Heights,70238,62157.52,27231,65.45,0.8317,10.0,1.57,1.0,6,2.24,78.1,21.9,79.9,20.1,27.0,22.5,11.1,Black or African American,1123.0,640583.0,24.9,75.1,87.3,23890.0,23.7,62.3,62.3,37.7
BK37,Brooklyn,Park Slope-Gowanus,74137,48774.34,30775,85.96000000000001,0.9051,5.0,2.39,1.0,35,2.83,76.1,23.9,83.7,16.3,75.7,19.6,9.0,White,2050.0,997876.0,39.3,60.7,92.5,68597.0,4.2,78.6,88.3,11.700000000000003
BK38,Brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,46573,45659.8,20118,80.74,0.8605,6.0,2.04,1.0,125,1.73,68.2,31.8,80.3,19.7,59.9,17.7,9.0,White,1749.0,929014.0,25.6,74.4,91.6,58014.0,15.5,71.3,83.7,16.299999999999997
BK40,Brooklyn,Windsor Terrace,22759,45518.0,9259,85.16,0.8463,4.0,2.11,1.0,3,0.95,69.9,30.1,77.5,22.5,64.7,21.6,11.8,White,1724.0,730182.0,42.7,57.3,93.9,49947.0,6.8,73.7,84.0,16.0
BK41,Brooklyn,Kensington-Ocean Parkway,34898,61224.56,12079,73.49,0.7823,6.0,1.58,1.0,2,1.19,39.3,60.7,57.2,42.8,40.2,27.7,10.6,White,1394.0,541969.0,31.0,69.0,96.5,23290.0,19.6,62.8,60.5,39.5
BK42,Brooklyn,Flatbush,104103,64261.11,38759,69.25,0.7871,9.0,1.57,1.0,9,3.42,51.0,49.0,55.2,44.8,33.5,24.2,10.8,Black or African American,1283.0,621940.0,17.5,82.5,94.6,23818.0,15.6,64.9,54.5,45.5
BK43,Brooklyn,Midwood,53408,41725.0,18495,67.32000000000001,0.7336,10.0,1.85,0.98,1,1.74,49.9,50.1,61.6,38.4,42.5,27.2,14.9,White,1268.0,709281.0,32.5,67.5,93.7,27728.0,17.3,58.4,67.9,32.099999999999994
BK44,Brooklyn,Madison,41116,41955.1,14744,77.37,0.7508,6.0,1.98,0.97,1,1.45,42.1,57.9,50.9,49.1,41.0,20.8,17.4,White,1276.0,596378.0,47.0,53.0,93.5,29234.0,11.1,57.7,64.7,35.3
BK45,Brooklyn,Georgetown-Marine Park-Bergen Beach-Mill Basin,46179,18545.78,16052,79.59,0.8114,7.000000000000001,1.96,0.93,2,1.59,63.2,36.8,72.7,27.3,37.7,24.2,16.1,White,1405.0,570269.0,72.6,27.4,93.8,36128.0,5.3,63.0,67.6,32.400000000000006
BK46,Brooklyn,Ocean Parkway South,20364,31818.75,6636,66.24,0.6933,10.0,1.93,1.0,0,0.77,58.9,41.1,72.9,27.1,39.5,32.4,13.8,White,1371.0,774670.0,42.1,57.9,93.3,29113.0,14.8,58.2,74.1,25.900000000000006
BK50,Brooklyn,Canarsie,88884,30232.65,29541,78.56,0.8182,6.0,1.93,0.94,2,2.54,73.1,26.9,54.7,45.3,26.0,22.8,11.7,Black or African American,1310.0,484625.0,48.7,51.3,94.1,25790.0,12.5,66.4,55.1,44.9
BK58,Brooklyn,Flatlands,70560,36184.62,23191,77.64,0.8298,7.000000000000001,1.92,0.95,2,2.11,69.4,30.6,56.6,43.4,31.0,22.9,13.3,Black or African American,1227.0,453757.0,59.0,41.0,93.4,27793.0,9.2,64.5,61.2,38.8
BK60,Brooklyn,Prospect Lefferts Gardens-Wingate,67938,60122.12,27558,66.42,0.739,8.0,1.8,1.0,20,2.35,70.4,29.6,56.1,43.9,27.3,21.8,14.1,Black or African American,1211.0,517192.0,17.1,82.9,91.2,25151.0,17.3,64.1,56.3,43.7
BK61,Brooklyn,Crown Heights North,111782,60422.7,48089,67.11,0.8089,9.0,1.64,1.0,44,3.76,78.5,21.5,69.1,30.9,31.6,20.6,10.7,Black or African American,1137.0,697880.0,14.0,86.0,90.0,24780.0,25.7,63.9,60.199999999999996,39.800000000000004
