Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
BK09,Brooklyn Heights-Cobble Hill,Brooklyn,23758,65994.44,11150,0.36,19,0.864,High Connected,0.882,High Connected,0.05,Low Connected,2.41,High,1.96,High,6,High,0.16,Medium High,1,1,2,27,20,true,3097,11150,14212,748,High,25509,42,225,0,0,false,0,2,3,0,High,23,65,6,0,10,5,8,24,1.68,High,0,N/A,0.25,2,0,0.88,Underground Network Areas,High,4.5,High,1.22,Medium High,High,Low,YES,0.37,174,39,NO,NO,NO,NO,NONE
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Brooklyn,65167,28707.93,25483,2.27,80,0.7729,Medium High Connected,0.7604,Low Connected,0.07,Medium Low Connected,1.82,Medium Low,1.07,Low,2,Low,0.2,High,1,0.76,4,18,2,true,2474,25483,28624,358,Medium Low,71948,711,3976,0,4710,false,7,14,8,0,High,61,122,35,0,7,0,11,25,0.45,Medium Low,0,N/A,1,1,0.96,0.53,Above and Underground Network,Average,4,Average,2.45,High,Average,Average,YES,0.25,86,29,NO,NO,NO,NO,NONE
BK19,Brighton Beach,Brooklyn,34814,56151.61,14441,0.62,23,0.6653,Medium Low Connected,0.688,Low Connected,0.08,Medium Low Connected,1.86,Medium Low,1.21,Low,3,Medium High,0.15,Medium High,1,0.79,3,1,1,true,2651,14441,17208,748,High,39608,523,2819,0,0,false,0,5,2,1,Medium Low,18,94,14,0,4,0,7,6,0.57,Medium Low,0,N/A,0.97,1,0.59,0.83,Above and Underground Network,High,4.5,High,1.43,High,High,Low,YES,0.62,56,8,NO,NO,NO,NO,NONE
BK21,Seagate-Coney Island,Brooklyn,31120,22388.49,11553,1.39,25,0.5547,Low Connected,0.6092,Low Connected,0.1,Medium High Connected,1.83,Medium Low,1.14,Low,3,Medium High,0.2,High,1,0.76,5,32,30,true,771,11553,12007,480,Medium High,40788,748,2980,116,8648,false,9,7,11,0,Low,15,38,15,0,10,0,16,4,0.8,Medium High,0,N/A,1,2,0.63,0.42,Above and Underground Network,Average,4.5,High,1,Medium High,Average,Average,YES,0.36,82,0,YES,NO,YES,YES,"Low make-ready requirements. Some locations had telecom service drops crossing the roadway without proper clearance
Area suitable for fixed wireless."
BK23,West Brighton,Brooklyn,17252,55651.61,8547,0.31,12,0.6682,Medium Low Connected,0.6754,Low Connected,0.09,Medium High Connected,1.56,Low,1.45,Medium Low,4,High,0.21,High,1,0.42,0,0,0,false,719,8547,9120,760,High,19016,245,846,0,0,false,0,8,0,0,Medium Low,4,18,14,1,1,0,2,5,0.58,Medium Low,0,N/A,0.97,1,0.07,0.94,Above and Underground Network,High,4.5,High,0.76,Medium Low,High,Low,YES,0.37,185,35,NO,NO,NO,NO,NONE
BK25,Homecrest,Brooklyn,44817,41497.22,15744,1.08,36,0.748,Medium High Connected,0.7656,Low Connected,0.09,Medium High Connected,1.95,Medium High,1.53,Medium High,3,Medium High,0.04,Low,1,0.97,3,1,0,false,2165,15744,17693,491,Medium High,52425,433,2767,0,0,false,0,3,8,0,Medium Low,45,182,18,0,5,0,6,10,0.44,Medium Low,0,N/A,0.88,2,0.62,0.55,Above and Underground Network,Average,4.5,High,1.52,High,Average,Average,YES,0.11,138,74,NO,NO,NO,NO,NONE
BK26,Gravesend,Brooklyn,30294,27048.21,11421,1.12,30,0.7193,Medium High Connected,0.7631,Low Connected,0.09,Medium High Connected,1.92,Medium Low,1.34,Medium Low,3,Medium High,0.1,Medium High,1,0.89,2,1,1,true,2061,11421,13506,450,Medium High,32120,513,2558,0,4112,false,3,11,4,0,Medium Low,42,50,12,0,3,0,4,5,0.3,Low,0,N/A,1,1,1,0.44,Above and Underground Network,Average,4,Average,1.14,Medium High,Average,Average,YES,0.41,123,59,NO,NO,NO,NO,NONE
BK27,Bath Beach,Brooklyn,33580,45378.38,11312,0.74,26,0.751,Medium High Connected,0.8225,Medium High Connected,0.09,Medium High Connected,1.86,Medium Low,1.24,Low,4,High,0.21,High,1,0.77,1,8,1,true,1658,11312,12862,495,Medium High,33499,405,1929,0,0,false,0,4,6,0,Medium Low,29,57,9,0,2,0,8,11,0.73,Medium High,0,N/A,0.87,2,0.62,0.93,Above and Underground Network,Average,4,Average,1.12,Medium High,Average,Average,YES,0.17,39,5,NO,NO,NO,NO,NONE
BK28,Bensonhurst West,Brooklyn,89889,53825.75,29960,1.67,51,0.7177,Medium Low Connected,0.805,Medium High Connected,0.1,Medium High Connected,1.83,Medium Low,1.38,Medium Low,3,Medium High,0.18,High,1,0.98,1,0,0,false,1990,29960,32069,629,Medium High,97134,1063,6250,0,0,false,0,9,1,0,Medium Low,35,226,18,0,13,0,13,15,0.55,Medium Low,0,N/A,0.6,2,0.29,0.97,Above and Underground Network,Average,4.5,High,2.73,High,Average,Average,YES,0.05,49,4,NO,NO,NO,NO,NONE
BK29,Bensonhurst East,Brooklyn,65589,51241.41,22406,1.28,42,0.7282,Medium High Connected,0.7977,Medium Low Connected,0.09,Medium High Connected,1.88,Medium Low,1.33,Medium Low,5,High,0.06,Medium Low,1,0.95,2,2,1,true,2093,22406,24466,583,Medium High,70340,859,4853,0,0,false,0,11,4,0,Medium Low,51,154,18,0,6,0,10,9,0.45,Medium Low,0,N/A,0.51,2,0.58,0.83,Above and Underground Network,Average,4.5,High,2.07,High,Average,Average,YES,0.16,226,13,NO,NO,NO,NO,NONE
